Car Name,Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Description
Volkswagen Scirocco,36 000 DT,154 000 km,2010,Traction,Automatique,9 cv,Essence,Tunis,"Coupé, 9 cv, transmission Traction"
KIA Rio 5p SX,45 000 DT,149 000 km,2019,Traction,Manuelle,5 cv,Essence,Gabès,Première main
Renault Clio Life Plus,43 800 DT,101 000 km,2021,Traction,Manuelle,5 cv,Essence,Tunis,"Compacte, 5 cv, transmission Traction, Affichage tête haute, Autoradio CD, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières"
Skoda Fabia Active,41 500 DT,113 000 km,2021,Traction,Manuelle,4 cv,Essence,Tunis,"Compacte, 4 cv, transmission Traction, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Mercedes-Benz CLA AMG,166 000 DT,65 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,"Berline, 8 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges massants, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Instrumentation numérique"
MG RX8 4x4 SUV,135 000 DT,24 000 km,2023,Traction,Automatique,16 cv,Essence,Tunis,"SUV/4x4, 16 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges chauffants, Sièges réglables en hauteur, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Peugeot 2008 Allure,39 000 DT,98 000 km,2015,Intégrale,Manuelle,5 cv,Essence,Sfax,"Première main
Entretien chez Peugeot"
Renault Clio Campus climatisée,27 000 DT,240 000 km,2011,Traction,Manuelle,4 cv,Essence,Sousse,Première main
Volkswagen Golf 7 toit panoramique,73 000 DT,65 000 km,2019,Traction,Manuelle,5 cv,Essence,Ben Arous,Golf 7 importee d allmagne toit panoramique Dernier Serie 1er Main ..65000 km certifié . avec Carnet d entretient Freinage automatique avec capteur d’obstacle Rétroviseurs élec l *Jantes en alliage chromé de 16 pouces * Climatisation * Système de navigation GPS * Bluetooth/Aux / USB * Régulateur / limiteur de vitesse * Volant cuir Multi fonction * Ordinateur de bord * Accoudoir central avant et arrière * Rétroviseur jour/nuit * Reconnaissance vocale * 8 haut-parleurs * Radar de recul arrière * Feux automatique * LED AVANT 2cle . Tel :: 26098019
Mercedes-Benz GLC,189 000 DT,130 000 km,2018,Traction,Automatique,10 cv,Hybride,Sousse,Mercedes Benz GLC 350e AMG importée d'Allemagne très bonne état modèle 2019 tout options essence hybride rechargeable tel : 93785068
Mercedes-Benz Classe E,162 900 DT,158 000 km,2020,Traction,Automatique,8 cv,Diesel,Sousse,Mercedes Benz E200  importée d'Allemagne très bonne état année 2020 diesel. Toutes options tel : 93785068
Mercedes-Benz Classe A Berline,147 000 DT,60 000 km,2020,Intégrale,Automatique,8 cv,Hybride,Sousse,"GSM: 98.229.602. Mercedes Benz A250e Kit AMG Hybride. Véhicule quasi-neuf, récemment importé de l’Allemagne : immatriculation TU 245. Full options: Toit ouvrant/panoramique - Boite auto - Système Stop & Start - Radar de recul avant et arrière - Système de pilotage automatique - Caméra 360° - Affichage tête haute - Sièges Alcantara - ABS - Airbags frontaux, latéraux - Alerte de franchissement involontaire de ligne - Android Auto/Apple CarPlay - Assistance au freinage d'urgence + Assistant feux de route – Bluetooth - Capteur de lumière + Capteur de pluie - Climatisation automatique - Cockpit numérique - Commande vocale - Contrôle automatique de la pression des pneus - Direction assistée - Éclairage d'ambiance - Écran tactile – ESP - Fermeture centralisée - Feux de position LED - GPS - Jantes alliage - Ordinateur de bord - Pack sport - Phares LED - Port USB - Régulateur de vitesse adaptatif - Rétroviseurs extérieurs électriques - Sièges sport chauffants - Système d'assistance angles morts"
BMW X4 Pack M,234 000 DT,119 000 km,2019,Intégrale,Automatique,16 cv,Hybride,Monastir,"SUV/4x4, 16 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
Mercedes-Benz GLE Coupé,420 000 DT,54 000 km,2020,Intégrale,Automatique,18 cv,Diesel,Sfax,Série 231
Volkswagen Golf 7 Confortline,75 000 DT,69 000 km,2020,Traction,Manuelle,6 cv,Essence,Sfax,Derrière série
Chery Tiggo 4 Premium,57 000 DT,71 000 km,2021,Traction,Automatique,9 cv,Essence,Sfax,"SUV/4x4, 9 cv, transmission Traction"
Peugeot 3008,85 000 DT,130 000 km,2019,Intégrale,Automatique,7 cv,Diesel,Ben Arous,Peugeot 3008
BMW Série 4 Gran Coupé Pack M,218 000 DT,40 000 km,2023,Intégrale,Automatique,10 cv,Essence,Tunis,"Berline, 10 cv, transmission Intégrale"
Mercedes-Benz Classe A Progressive,110 000 DT,61 000 km,2019,Traction,Automatique,7 cv,Essence,Ariana,"Mercedes-Benz Classe A 180

Kilométrage : 60 000 km
Année : 05/2020
Boîte automatique
Entretiens effectués chez la maison mère Mercedes-Benz
Prix : 110 000 DT
Voiture en excellent état, bien entretenue, idéale pour les amateurs de confort et de performance.
Pour plus d'informations ou pour convenir d'une visite, contactez-moi au 29951915."
Renault Express Van,47 000 DT,59 000 km,2022,Traction,Manuelle,6 cv,Diesel,Nabeul,"Renault express  fin 2022
59000km  prix négociable
97160639"
Mercedes-Benz Classe A,135 000 DT,66 000 km,2021,Traction,Automatique,8 cv,Hybride,Sfax,Série 244
Mercedes-Benz GLC Coupé AMG,260 000 DT,56 000 km,2020,Intégrale,Automatique,12 cv,Hybride,Sfax,"SUV/4x4, 12 cv, transmission Intégrale"
Volkswagen Golf 8 Life,95 000 DT,92 000 km,2021,Traction,Automatique,6 cv,Hybride,Sfax,"Citadine, 6 cv, transmission Traction"
KIA Cerato KOUP,32 500 DT,205 000 km,2010,Traction,Manuelle,7 cv,Essence,Tunis,"2010 KIA CERATO PREMIÈRE MAIN

TÉLÉPHONE : 50 222 571 / 22 227 007

22/12/2010 TU 149

1.6 L ESSENCE

7 CV

205 000 KM    entretien maison

Disponible à notre showroom CARHABTI  118 RUE IBN JAZZAR DERRIÈRE CARREFOUR LA MARSA"
Mercedes-Benz Classe E coupé AMG,49 000 DT,197 000 km,2009,Propulsion,Automatique,12 cv,Essence,Ariana,"MERCEDES-BENZ E250 CGI
Kit AMG
Modele : 10 / 2009
Kilométrage : 197.000 Km
Boite Automatique
Puissance fiscale : 12 cv
Energie : Essence
Climatronic
Volant multifonction
Intérieur cuir Noir
Sièges massant
Jantes 18
Feux Xénon
Climatronic
Radar avant et arrière
------------------------------------
Expert AUTO
: 24 194 040"
Mercedes-Benz Classe C coupé AMG,158 000 DT,84 000 km,2020,Propulsion,Automatique,9 cv,Essence,Ariana,"MERCEDES-BENZ C180 Coupe Restylée
Kit AMG intérieur & extérieur
Pack Night
Modele : 10 / 2020
Tu 242
Kilométrage : 84.000 Km
Puissance fiscale : 9 cv
Energie : Essence
Climatronic
Volant multifonction
Camera de recul
Toit Panoramique Ouvrant
Sièges cuir alcantara
Compteur digital
Feux LED / Xénon
Vitres teintées
Jantes en alliage 18""
------------------------------------
Expert AUTO
 : 24 194 040"
Seat Leon Business,53 000 DT,75 000 km,2019,Traction,Manuelle,6 cv,Essence,Ariana,"SEAT LEON
Modele : 12 / 2019
Kilométrage : 75.000Km
Puissance fiscale : 6 cv
Energie : Essence
Climatronic
Volant multifonction
Jantes en alliage
------------------------------------
Expert AUTO
 : 24 194 040"
Volkswagen Golf 8 R-Line,158 000 DT,14 000 km,2023,Traction,Automatique,8 cv,Essence,Ariana,"Prix : 158.000
Possibilité D'échange
 VOLKSWAGEN GOLF 8

Modele : 07/2023
Kilométrage : 14 000 km
Puissance fiscale : 8 cv
Energie : Essence - Hybrid
4 Cylindres / 1.5L
Siéges R
Boite Automatique
Climatronic
Camera
Toit Ouvrant
Sonorisation Meridian
Xénon / LED - IQ Light
Palettes au volant
Vitres teintées
Start / Stop
Tu 246
------------------------------------
Expert AUTO
24 194 040"
BMW Série 1 Sport Line,49 000 DT,180 000 km,2014,Propulsion,Manuelle,6 cv,Essence,Ariana,"BMW 116i
Entretien chez maison BMW
Pack Sport
Modele : 04/ 2014
Kilométrage : 180.000 Km
Boite 6 vitesses
Puissance fiscale : 6 cv
Energie : Essence
Climatronic
Volant multifonction
Feux LED
Sièges en Cuir rouge
Jantes 17""
Toit Ouvrant
Radar de recul arrière
Climatronic
------------------------------------
Expert AUTO
 : 24 194 040"
Mercedes-Benz Classe E AMG,418 000 DT,3 000 km,2024,Propulsion,Automatique,11 cv,Hybride,Ariana,"MERCEDES-BENZ E300e
Hybride Rechargeable
Motorisation : Essence-Electric
Puissance Fiscal : 11 cv
Puissance 333 ch din
Année 2024
Kilométrage : 3000 km
Angle mort Surveillance
Aide active au stationnement
Régulateur de vitesse adaptatif DISTRONIC Pro
Aide active au maintien dans la voie (caméra)
Angle mort Surveillance
Rétroviseur intérieur et rétroviseurs extérieurs à atténuation automatique
Pack d'intégration smartphone
Caméra embarquée
Capteurs avant pour la surveillance des intersections
Pack mémoire (siège conducteur, colonne de direction et rétroviseurs)
Phares LED numériques, circulation à droite
Sièges avant climatisés
Toit ouvrant panoramique coulissant automatique
Boîte de vitesses automatique à 9 rapports
Fonction de projection via les phares
Affichage tête haute avancé (HUD)
Affichage du combiné d'instruments
MBUX Entertainment incl. Streaming vidéo
Caméra 360°
Système de reconnaissance des panneaux de signalisation"
BMW X5,138 000 DT,170 000 km,2015,Intégrale,Automatique,13 cv,Diesel,Ariana,"Prix : 138.000
Possibilité D'échange
 BMW X5
Kit M///
Modele : 06 / 2015
Kilométrage : 170 000 km
Puissance fiscale : 13 cv
Energie : Diesel
Sièges électriques à mémoire
Boite Automatique
Climatronic
Palettes au volant
Camera 360°
Accès comfort
Xénon / LED
Toit Panoramique
Jantes 21""
Interieur cuir brown
Lumière d'ambiance
Soft close
TV / DVD
Hayon électrique
Vitres teintées
------------------------------------
Expert AUTO
 24 194 040"
Mercedes-Benz Classe E Avantgarde,86 000 DT,232 000 km,2015,Intégrale,Automatique,11 cv,Diesel,Ariana,"MERCEDES-BENZ E250
4Matic
Modele : 03 / 2015
Kilométrage : 232.000
Boite Automatique
Tu 201
Puissance fiscale : 11 cv
Energie : Diesel
Climatronic
Volant multifonction
Feux LED / Xénon
Sièges en cuir
Radar de positionnement AV/AR
Toit Ouvrant
Jantes en alliage
Sièges électriques à mémoire
------------------------------------
Expert AUTO
 : 24 194 040"
Renault Grand Espace toute option,79 000 DT,2 000 km,2024,Traction,Manuelle,5 cv,Diesel,Ariana,"Prix : 79.000
Possibilité D'échange
 RENAULT LODGY
7 Places
Modele : 05/2024
TU 246
Kilométrage : 2 000 km
Puissance fiscale : 5 cv
Energie : Diesel 1.5L
Camera
Volant multifonction
Climatronic
Jantes en alliage
Radar de recul
------------------------------------
Expert AUTO
24 194 040"
Peugeot 3008 GT-Line,95 000 DT,30 000 km,2018,Traction,Automatique,9 cv,Essence,Ariana,"Prix : 95.000
Possibilité D'échange
 PEUGEOT 3008
GT-Line    4 cylindres
Modele : 09 / 2018
1ère main
Kilométrage : 30 000 km
Puissance fiscale : 9 cv
Energie : Essence
Sièges en cuir
Lumière d'ambiance
Feux Xénon / LED
Camera 360°
Accés comfort
Start / Stop
Boite Automatique
Vitres teintées
Jantes 19""
Sièges électriques à mémoire
Sièges Sport
Hayon électrique
------------------------------------
Expert AUTO
24 194 040"
Land Rover Range Rover Evoque R DYNAMIQUE,218 000 DT,84 000 km,2020,Intégrale,Automatique,11 cv,Diesel,Ariana,"Prix : 218.000
Possibilité D'échange
 RANGE ROVER EVOQUE
Pack Night
R-Dynamique
Tu 244
Modele : 2020
Kilométrage : 84.000 Km
Boite Automatique
Puissance fiscale : 11 cv
Energie : 2.0L Diesel / Hybrid
Climatronic
Toit Panoramique
Volant multifonction
Feux LED / Xénon
Start / Stop
Keyless Go
Camera 360°
Sièges en cuir
Hayon électrique
Sièges électriques à mémoire
Sonorisation Meridian
Capteur d'angle mort
Vitres teintées
Sièges chauffants ventilés
Jantes 20""
------------------------------------
Expert AUTO
24 194 040"
BMW X4 Kit M,258 000 DT,47 000 km,2021,Traction,Automatique,15 cv,Essence,Ariana,"Prix : 258.000
Possibilité d'échange
BMX X4
Pack Night
Kit M///
Xdrive 3.0L
Tu 246
Modele :07 / 2020
Kilométrage : 46.000 km
Puissance fiscale : 15 cv
Energie : Essence
Camera 360°
Boite Automatique
Climatronic
Salon Cuir brown
Volant multifonction
Vitres teintées
Palettes au volant
Sièges électriques à mémoire
Start / Stop
Compteur digital
Hayon électrique
Toit Panoramique
Jantes 19""
Full LED Bmw Adaptive LED
Accés comfort
4 roues motrices
------------------------------------
Expert AUTO
 24 194 040"
Hyundai Tucson Top Grade,98 000 DT,80 000 km,2020,Traction,Automatique,7 cv,Diesel,Ariana,"HYUNDAI TUCSON
-
Tu 247
Modele : 2020
Kilométrage : 80 000 km
Puissance fiscale : 7 cv
Energie : Diesel / Hybrid
Keyless Go
Climatronic
Boite Automatique
Start / Stop
Camera
Feux Xénon / LED
Vitres teintées
Sièges alcantara
Volant multifonction
Toit Panoramique
Jantes 19""
Rétroviseurs rabattables
------------------------------------
Expert AUTO
 : 24 194 040"
BMW X5,168 000 DT,102 000 km,2016,Intégrale,Automatique,13 cv,Diesel,Ariana,"BMW X5
.Kit M///
2.5d Xdrive
Modele : 04/2016
Kilométrage : 102 000 km
Boite Automatique
Toit Panoramique
Keyless Go
Ecran dvd/Tv
Soft-close
Puissance fiscale : 13 cv
Energie : Diesel
Feux LED Adaptive
Camera 360
Volant multifonction M
Hayon électrique
Feux Bi-Xénon / LED
Salon Cuir
Feux d'ambiance
Vitres teintées
Siéges électriques à mémoire
Jantes 19
------------------------------------
Expert AUTO"
Mercedes-Benz CLA AMG,148 000 DT,117 000 km,2020,Traction,Automatique,6 cv,Diesel,Ariana,"Prix : 148.000
Possibilité D'échange
 MERCEDES-BENZ CLA 180d
Kit AMG
Pack Night
Modele : 2020
Kilométrage : 117.000 Km
Boite Automatique
Puissance fiscale : 6 cv
Energie : Diesel
Climatronic
Toit Panoramique
Lumière d'ambiance
Volant multifonction
MutiBeam LED
Start / Stop
Vitres teintées
Camera
Sièges en cuir
Accés comfort
Tu 236
Sièges électriques à mémoire
Sonorisation Burmester
Jantes 18""
------------------------------------
Expert AUTO
24 194 040"
Ford Puma Hybrid,79 000 DT,10 000 km,2020,Traction,Manuelle,6 cv,Hybride,Ariana,"FORD PUMA Hybrid
Tu 230
Modele : 08 / 2020
Kilométrage : 10 000 km
Puissance fiscale : 6 cv
Energie : Essence / Electrique
Ecoboost Hybrid
Climatronic
Boite 6 vitesses
Start / Stop
Radar de positionnement AV/AR
Feux Bi-Xénon"
Mercedes-Benz Classe E Avantgarde,55 000 DT,300 000 km,2010,Traction,Automatique,10 cv,Diesel,Ariana,"Prix : 55.000
Possibilité D'échange
 MERCEDES-BENZ E220
Avantgarde
Modele :  06   /  2010
Kilométrage : 300.000 Km
Boite Automatique
Puissance fiscale : 10 cv
Energie : Diesel
Climatronic
Volant multifonction
TV
Sièges en cuir brown
Feux Xénon
Jantes en alliage
Bien entretenue
Rideaux latéraux
Sièges électriques à mémoire
------------------------------------
Expert AUTO
 24 194 040"
KIA Sportage Toit Ouvrant,74 000 DT,175 000 km,2016,Intégrale,Automatique,8 cv,Essence,Ariana,"Prix : 74.000
Possibilité D'échange
 KIA SPORTAGE GDI
Modele : 11 / 2016
Kilométrage :  175.000 Km
Boite Automatique
Puissance fiscale : 8 cv
Energie : Essence
Climatronic
Volant multifonction
Toit Panoramique
Sièges en cuir
Feux Xénon
Jantes en alliage
Start / Stop
------------------------------------
Expert AUTO
24 194 040"
Jaguar XJ,58 000 DT,140 000 km,2008,Traction,Automatique,17 cv,Essence,Ariana,"Prix : 58.000
Possibilité D'échange
JAGUAR XJ SOVEREIGN
V6
Modele : 2008
Kilométrage : 140.000 Km
Boite Automatique
Puissance fiscale : 17 cv
Energie : Essence 3.0L
Climatronic
Sièges électriques à mémoire
Volant multifonction
Boiserie
Toit Ouvrant
Sièges en cuir
Sonorisation Alpine
Feux Xénon
TV
------------------------------------
Expert AUTO24 194 040"
Renault Symbol,28 000 DT,175 330 km,2009,Traction,Manuelle,5 cv,Essence,Ariana,"À vendre très belle renault symbole 1er main clim en marche
tt option 5cv essence modèle 2009 km.175.330
tél portable 98205538
kilométrage: 175.330 km
couleur du véhicule: noir
boite: manuelle
année: 2009
marque: renault
modèle: symbol
puissance fiscale: 5 cv
carburant: essence"
Honda City,55 500 DT,98 300 km,2020,Traction,Automatique,7 cv,Essence,Ariana,première main
Mercedes-Benz GLA AMG,172 000 DT,48 000 km,2021,Traction,Automatique,8 cv,Hybride,Ariana,"MERCEDES-BENZ GLA 250
 KIT AMG
 Pack Night
Hybrid
Modele : 11/2021
Kilométrage :  48.000 km
Puissance fiscale : 8 cv
Energie : Essence / Électrique
Boite Automatique
Camera 360
Sièges chauffants  / ventilée
Sièges cuir Noir
Lumiére d'ambiance
Start / Stop
Keyless Go
Accés comfort
Toit Panoramique
Climatronic
Jantes 19""
LED / Xénon - MultiBeam
Volant multifonction
Vitres teintées
------------------------------------
Expert AUTO
: 24 194 040"
KIA Sorento L X,35 000 DT,144 000 km,2006,Propulsion,Automatique,14 cv,Essence,Ariana,"KIA SORENTO
4 X 4
Modele : 06/ 2006
Kilométrage : 90.000 Miles / 144.000 Km
Boite Automatique
V6 - 3.5L
Puissance fiscale : 14 cv
Energie : Essence / GPL
Climatisées
Volant multifonction
Jantes en alliage
Vitres teintées
------------------------------------
Expert AUTO
 : 24 194 040"
Audi A4,46 000 DT,142 000 km,2012,Traction,Manuelle,7 cv,Essence,Nabeul,"Audi A4 2012 1.8 essence 7cv première main, peu roulée 142K, manuelle, tres bien entretenue"
Fiat 500 Lounge,36 500 DT,183 000 km,2016,Propulsion,Manuelle,4 cv,Essence,Ben Arous,Première main
Land Rover Range Rover V8 4.2 SUPERCHARGED,189 000 DT,60 000 km,2010,Intégrale,Automatique,32 cv,Essence,Nabeul,"Unique sur le marché. Un exceptionnel Range Rover V8 SUPERCHARGED dans un état parfait et à très faible kilométrage.1ère main.Entretenu chez Land Rover. Version pays chauds
Suspension variable,cuir spécial,Jantes 20’’,marchepied automatique,pneus neufs"
Audi A5 Sportback S-Line,75 000 DT,255 000 km,2012,Intégrale,Automatique,12 cv,Essence,Ariana,occasion rare et  unique pour les passionnés. Audi A5 sport back s.line 2.0 TFSI QUATTRO BVA Tiptronic finition RS  jantes 20' RS6 couleur rouge RS origine ETAT impeccable. Moteur ayant parcouru 120 mkm depuis son remplacement Kilométrage total véhicule 257.300 km; entretiens impeccables
Peugeot Partner,46 000 DT,148 000 km,2020,Traction,Manuelle,5 cv,Diesel,Nabeul,"Peugeot Partner K9 Bluehdi Double Cabine Importée Fin Serie Full option

                    Voiture Importée Fin Serie

Model : 2021
Kilométrage : 148000 Km
Puissance : 5 CV
Énergie : Diesel

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Toyota C-HR,75 000 DT,80 000 km,2020,Traction,Automatique,6 cv,Essence,Nabeul,"Toyota C-HR Boite Auto Full Option

              Voiture Premiere main

Model : 2020
Kilométrage : 80000Km certifié
Puissance : 6 CV
Énergie : Essence

BVA
Climatronic
4 vitres électriques
volant multifonction
Rétroviseurs rabattable
radar de recule avant et arrière

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Seat Ibiza,49 500 DT,98 000 km,2019,Traction,Manuelle,4 cv,Essence,Nabeul,"Seat Ibiza Style Toit Panoramique Full option

                        Première main

Model : 2019
Kilométrage : 98000 Km
Puissance : 4 CV
Énergie : Essence

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Fiat 500 Dolcevita,53 500 DT,78 000 km,2021,Traction,Manuelle,4 cv,Hybride,Nabeul,"Fiat 500 DolceVitaToit Panoramique led xenon importée Fin Serie Tn248 full option

               Voiture importée Tn248

Model : 2022
Kilométrage : 78000Km
Puissance : 4 CV
Énergie : Hybride

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Mahindra KUV 100 K6+,31 000 DT,47 000 km,2021,Traction,Manuelle,5 cv,Essence,Nabeul,"Mahindra KUV 100 1.2l k6+ Full options

               voiture Première main

Model : 2022
Kilométrage : 47000Km certifié
Puissance : 5 CV
Énergie : Essence

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Fiat Tipo 5 portes,49 500 DT,68 000 km,2021,Traction,Manuelle,5 cv,Essence,Nabeul,"Fiat Tipo Coupé 4 Cylindres Boite 6 Full option

                        voiture Première main

Model : 2022
Kilométrage : 68000 Km
Puissance : 5 CV
Énergie : Essence

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Peugeot 208,45 500 DT,108 000 km,2021,Traction,Manuelle,5 cv,Diesel,Nabeul,"Peugeot 208 style ehdi importée Tn248 Full option

              voiture importée tn248

Model : 2021
Kilométrage : 108000Km certifié
Puissance : 5 CV
Énergie : Diesel

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Suzuki Celerio,39 500 DT,0 km,2024,Traction,Manuelle,4 cv,Essence,Nabeul,"Suzuki Celerio tt neuve 0km

               Voiture tt neuve 0km

Model : 2024
Kilométrage : 0Km
Puissance : 4 CV
Énergie : Essence

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Audi Q5 S-line,78 000 DT,270 000 km,2014,Traction,Automatique,10 cv,Diesel,Nabeul,"Audi Q5 Sline TDI 2.0l BVA importée  Tn219 Full Option

               Voiture importée  Tn219

Model : 2014
Kilométrage : 270 000Km certifié
Puissance : 10 CV
Énergie : Diesel

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Peugeot 3008,78 000 DT,148 000 km,2020,Traction,Automatique,6 cv,Diesel,Nabeul,"Peugeot 3008 ehdi Boite Auto importée Fin Serie Tn246 Full option

                 Voiture importée Fin Serie Tn246

Model : 2020
Kilométrage : 148000 Km
Puissance : 6 CV
Énergie : Diesel

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Citroën C1 Importée Tn245,38 500 DT,56 000 km,2021,Traction,Manuelle,4 cv,Essence,Nabeul,"CITROËN C1Edition JCC+ nouvelle arrivage 2024 état neuf importée Fin Serie Tn245 Full option

              Voiture importée Fin Serie Tn245

Model : 2021
Kilométrage : 56 000Km certifié faible kilométrage
Puissance : 4 CV
Énergie : essence


Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Volkswagen Golf 8,81 000 DT,87 000 km,2022,Traction,Manuelle,6 cv,Essence,Nabeul,"Volkswagen Golf 8 ACTIVE Boite 6 TSI  importée dernière série Tn249 Full option

               Voiture importée Fin Serie Tn249

Model : 2022
Kilométrage : 87000Km certifié
Puissance : 6 CV
Énergie : Essence


écran GPS
Xenon
Led
start & Stop
Climatronic
4 vitres électriques
volant multifonction
Rétroviseurs rabattable
radar de recule avant et arrière

Téléphone : 21 912 839 / 53 484 585

On accepte l'échange

 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell"
Porsche Cayenne,150 000 DT,194 000 km,2011,Intégrale,Automatique,15 cv,Diesel,Sfax,213
Volkswagen Golf 8 Active,95 000 DT,69 000 km,2021,Traction,Manuelle,6 cv,Essence,Sfax,Série 246
Fiat 500 C Cabriolet,56 000 DT,72 000 km,2017,Traction,Automatique,4 cv,Essence,Sfax,"Cabriolet, 4 cv, transmission Traction"
KIA Sportage GT-Line,98 000 DT,100 000 km,2019,Intégrale,Automatique,11 cv,Essence,Ariana,"2019 Kia Sportage Gt-Line BVA AWD Excellent Etat
98 000 DT Négociable
12/03/2020 TU215
1.6L Essence
11 CV
100 000 KM (Certifié avec Carnet Entretient City Cars)
Échange possible"
Peugeot 2008 Allure,79 000 DT,22 000 km,2021,Traction,Manuelle,6 cv,Essence,Ben Arous,Un beau SUV  confortable avec un moteur qui développe 130ch et un couple de 230nm pour une conduite vraiment très agréable
Volkswagen Golf 8,85 000 DT,63 000 km,2021,Intégrale,Manuelle,6 cv,Essence,Tunis,"Prix : 85000 DT

Golf 8 ÉDITION ""Importée D'Allemagne
Série:(TU249...)

Golf 8 ÉDITION, avec Feux, IQ.LIGHT e, Voiture Importée d'Allemagne , Dernière série de 249Tu… .

 Puissance fiscal : 6 CV ESSENCE
Date de mise en circulation :08/ 2021
 Boite : Manuelle 6 Vitesses
 Kilométrage : 63 000 Km

Options :

Feux IQ.LIGHT
jante Aluminium par 17
 sièges chauffants
Climatronic
 Boîte 6 vitesses
  Accoudoir central
 L’imitateur de vitesse
Volant multifonction
Bluetooth...

Visible à La Marsa"
Mercedes-Benz Classe E,195 000 DT,45 000 km,2020,Traction,Automatique,9 cv,Diesel,Sousse,"Berline, 9 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Autoradio, Apple Carplay, Android Auto, Bluetooth, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, Volant réglable hauteur/profondeur, Instrumentation numérique"
Volkswagen Golf 7,95 000 DT,88 000 km,2018,Traction,Manuelle,8 cv,Essence,Sfax,Série 239
Mercedes-Benz Classe B Confort,95 000 DT,226 000 km,2019,Traction,Automatique,8 cv,Diesel,Sfax,Serie 245
Mercedes-Benz Classe A Sport AMG,125 000 DT,35 000 km,2019,Traction,Automatique,8 cv,Essence,Sfax,"Citadine, 8 cv, transmission Traction"
BMW X2 Pack M Pro,138 000 DT,67 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"BMW X2 18I
Etat neuf entretiens à jour chez Baccouche Automobiles BMW
Kit M d'origine complet"
