Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Brand,Model,Exterior Color,Interior Color,Upholstery,Seats,Doors,Energy,Gearbox Type,Fiscal Power,Transmission Type,Engine Displacement
102 781DT,95 100km,04.2019,Traction,Automatique,10cv,Essence,Ariana,KIA,Sportage,Beige,Beige,Cuir intégral,5,4,Essence,Automatique,10cv,Traction,1999cm³
91 807DT,159 000km,11.2019,Traction,Automatique,8cv,Essence,Tunis,KIA,Sportage,Bleu,Marron,Similicuir,5,5,Essence,Automatique,8cv,Traction,1600cm³
72 470DT,90 000km,12.2015,Traction,Manuelle,5cv,Essence,Tunis,Mini,5 portes,Bleu,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1198cm³
148 051DT,90 000km,08.2018,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe E,Noir,Beige,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1599cm³
64 056DT,63 000km,11.2020,Traction,Manuelle,6cv,Essence,Sousse,Peugeot,308,Gris anthracite,Gris,Tissu,5,5,Essence,Manuelle,6cv,Traction,1200cm³
89 898DT,95 000km,11.2020,Traction,Manuelle,7cv,Diesel,Tunis,Peugeot,Rifter,Blanc,Noir,Tissu,5,5,Diesel,Manuelle,7cv,Traction,1599cm³
138 407DT,40 000km,08.2022,Traction,Automatique,7cv,Essence,Ben Arous,BMW,Série 1,Gris argent,Noir,Cuir intégral,5,5,Essence,Automatique,7cv,Traction,1500cm³
77 551DT,167 000km,10.2013,Traction,Manuelle,6cv,Essence,Ben Arous,Mercedes-Benz,Classe A,Blanc,Noir,Alcantara,5,5,Essence,Manuelle,6cv,Traction,1600cm³
58 867DT,240 000km,08.2011,Traction,Manuelle,7cv,Essence,Ben Arous,Volkswagen,Passat,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,7cv,Traction,1399cm³
135 531DT,185 000km,01.2012,Intégrale,Automatique,15cv,Diesel,Tunis,BMW,X6,Gris Shark,Gris,Cuir intégral,4,5,Diesel,Automatique,15cv,Intégrale,3000cm³
68 496DT,173 000km,03.2016,Intégrale,Automatique,7cv,Diesel,Ariana,Ssangyong,Tivoli,Noir,Beige,Cuir intégral,5,5,Diesel,Automatique,7cv,Intégrale,1600cm³
52 034DT,183 000km,11.2014,Traction,Manuelle,7cv,Essence,Tunis,Volkswagen,Jetta,Noir,Noir,Tissu,5,4,Essence,Manuelle,7cv,Traction,cm³
83 962DT,94 000km,12.2020,Traction,Manuelle,7cv,Essence,Tunis,Ford,Ecosport,Gris anthracite,Autre,Similicuir,5,5,Essence,Manuelle,7cv,Traction,998cm³
56 573DT,67 000km,04.2022,Traction,Manuelle,5cv,Essence,Tunis,Chevrolet,Sonic,Noir,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1300cm³
51 955DT,192 500km,09.2018,Traction,Manuelle,6cv,Essence,Tunis,Ford,Focus,Noir,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,999cm³
94 412DT,200 000km,09.2013,Traction,Automatique,10cv,Essence,Ariana,Audi,Q3,Beige,Marron,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1000cm³
131 901DT,187 000km,05.2017,Traction,Automatique,10cv,Diesel,Tunis,Land Rover,Discovery Sport,Noir,Beige,Cuir intégral,5,5,Diesel,Automatique,10cv,Traction,2000cm³
75 475DT,54 000km,06.2022,Traction,Manuelle,5cv,Essence,Tunis,Hyundai,i20,Bleu,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1198cm³
212 911DT,107 000km,07.2019,Traction,Automatique,16cv,Essence,Sousse,Land Rover,Range Rover Velar,Noir,Noir,Tissu,5,4,Essence,Automatique,16cv,Traction,1997cm³
131 009DT,137 000km,08.2018,Traction,Automatique,5cv,Essence,La Manouba,Mercedes-Benz,Classe C,Noir,Noir,Cuir intégral,5,4,Essence,Automatique,5cv,Traction,899cm³
68 124DT,190 000km,11.2011,Traction,Automatique,11cv,Essence,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Tissu,5,4,Essence,Automatique,11cv,Traction,1798cm³
78 910DT,61 000km,01.2021,Traction,Automatique,7cv,Essence,Tunis,MG,ZS,Blanc,Marron,Similicuir,5,5,Essence,Automatique,7cv,Traction,1498cm³
97 744DT,101 000km,07.2018,Traction,Automatique,8cv,Essence,Ben Arous,KIA,Sportage,Blanc,N/A,N/A,N/A,N/A,Essence,Automatique,8cv,Traction,1598cm³
59 722DT,34 000km,12.2022,Traction,Manuelle,5cv,Essence,Ben Arous,Hyundai,Grand i10,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
82 606DT,195 000km,07.2011,Propulsion,Automatique,19cv,Essence,Tunis,Mercedes-Benz,ML,Blanc,Beige,Similicuir,5,5,Essence,Automatique,19cv,Propulsion,3500cm³
55 401DT,136 000km,05.2017,Traction,Manuelle,6cv,Essence,Tunis,Peugeot,2008,Bleu,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1199cm³
68 770DT,129 000km,03.2018,Traction,Manuelle,6cv,Essence,Kairouan,Seat,Leon SC,Blanc,Noir,Similicuir,5,3,Essence,Manuelle,6cv,Traction,1200cm³
62 339DT,127 000km,05.2012,Traction,Automatique,7cv,Essence,Ariana,BMW,Série 3,Gris anthracite,Beige,Similicuir,5,4,Essence,Automatique,7cv,Traction,1598cm³
40 785DT,182 000km,10.2008,Traction,Manuelle,5cv,Essence,Nabeul,Ford,Fusion,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,899cm³
168 654DT,25 000km,05.2023,Traction,Automatique,8cv,Essence,Ben Arous,Volkswagen,Tiguan,Gris argent,Noir,Alcantara,5,4,Essence,Automatique,8cv,Traction,1398cm³
176 011DT,24 000km,07.2023,Traction,Automatique,10cv,Essence,Tunis,Hyundai,Tucson,Vert,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1599cm³
98 117DT,95 100km,04.2019,Traction,Automatique,10cv,Essence,Ariana,KIA,Sportage,Beige,Beige,Cuir intégral,5,4,Essence,Automatique,10cv,Traction,1999cm³
105 289DT,97 000km,04.2016,Traction,Automatique,8cv,Essence,Ben Arous,Mercedes-Benz,GLA,Noir,Noir,Similicuir,5,4,Essence,Automatique,8cv,Traction,1598cm³
103 854DT,5 000km,08.2021,Traction,Manuelle,6cv,Essence,Ben Arous,Volkswagen,Golf 8,Gris argent,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,999cm³
69 171DT,200 000km,01.2018,Traction,Manuelle,7cv,Essence,Tunis,Ssangyong,Tivoli,Bleu,Beige,Similicuir,5,4,Essence,Manuelle,7cv,Traction,cm³
62 063DT,11 000km,08.2023,Traction,Manuelle,5cv,Essence,Ben Arous,KIA,Picanto,Blanc,Noir,Similicuir,5,4,Essence,Manuelle,5cv,Traction,1198cm³
160 460DT,18 646km,09.2021,Traction,Automatique,6cv,Electrique,Ariana,Mercedes-Benz,EQA,Blanc,Noir,Alcantara,5,4,Electrique,Automatique,6cv,Traction,cm³
113 652DT,75 000km,05.2016,Traction,Automatique,13cv,Essence,Ariana,Volkswagen,Golf 7,Bleu,Rouge,Similicuir,5,5,Essence,Automatique,13cv,Traction,1984cm³
98 672DT,153 451km,03.2015,Traction,Automatique,7cv,Diesel,Ariana,BMW,Série 5,Gris anthracite,Noir,Cuir partiel,5,4,Diesel,Automatique,7cv,Traction,2000cm³
60 455DT,82 000km,09.2016,Traction,Manuelle,6cv,Essence,Ben Arous,Ford,Focus,Bleu,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,2261cm³
178 855DT,61 092km,02.2021,Intégrale,Automatique,7cv,Diesel,Sfax,Volkswagen,Amarok,Gris anthracite,Noir,Cuir intégral,5,4,Diesel,Automatique,7cv,Intégrale,5999cm³
62 236DT,127 000km,05.2012,Traction,Automatique,7cv,Essence,Ariana,BMW,Série 3,Gris anthracite,Beige,Similicuir,5,4,Essence,Automatique,7cv,Traction,1598cm³
216 976DT,6 000km,01.2025,Traction,Automatique,8cv,Hybride essence,Tunis,Mercedes-Benz,CLA,Blanc,Noir,Cuir intégral,5,4,Hybride essence,Automatique,8cv,Traction,1599cm³
70 452DT,85 000km,08.2022,Traction,Manuelle,5cv,Essence,Tunis,KIA,Rio 5p,Gris Shark,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1199cm³
42 662DT,220 000km,02.2018,Traction,Manuelle,7cv,Diesel,Tunis,Tata,Xenon X2 Simple Cabine,Blanc,Gris,Tissu,2,2,Diesel,Manuelle,7cv,Traction,2200cm³
221 159DT,34 502km,09.2021,Traction,Automatique,8cv,Essence,Sfax,Audi,A5 Sportback,Bleu,Gris,Tissu,5,4,Essence,Automatique,8cv,Traction,1999cm³
77 015DT,74 500km,08.2021,Propulsion,Automatique,5cv,Essence,Tunis,Hyundai,i20,Rouge,Noir,Tissu,5,5,Essence,Automatique,5cv,Propulsion,cm³
194 122DT,40 000km,09.2019,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe C coupé,Blanc,Noir,Alcantara,5,3,Essence,Automatique,9cv,Traction,1599cm³
123 427DT,158 000km,03.2020,Traction,Automatique,6cv,Diesel,Nabeul,Mercedes-Benz,Classe A,Noir,Noir,Alcantara,5,5,Diesel,Automatique,6cv,Traction,1498cm³
100 903DT,127 000km,08.2019,Traction,Automatique,8cv,Essence,Tunis,KIA,Sportage,Gris Shark,Noir,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1699cm³
71 410DT,64 400km,12.2021,Traction,Manuelle,4cv,Essence,Ben Arous,Seat,Ibiza,Blanc,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,1000cm³
452 319DT,0km,04.2024,Intégrale,Automatique,11cv,Hybride rechargeable essence,Ariana,Mercedes-Benz,GLC Coupé,Noir,Gris,Cuir intégral,5,4,Hybride rechargeable essence,Automatique,11cv,Intégrale,2000cm³
49 785DT,230 000km,10.2010,Traction,Manuelle,7cv,Essence,Ben Arous,Peugeot,3008,Noir,Noir,Similicuir,5,4,Essence,Manuelle,7cv,Traction,1598cm³
65 126DT,230 000km,02.2009,Traction,Manuelle,8cv,Diesel,Ben Arous,Nissan,Navara,Gris Shark,Marron,Tissu,5,4,Diesel,Manuelle,8cv,Traction,2500cm³
207 559DT,60 000km,04.2010,Intégrale,Automatique,32cv,Essence,Nabeul,Land Rover,Range Rover,Noir,Autre,Cuir intégral,5,5,Essence,Automatique,32cv,Intégrale,4197cm³
47 569DT,66 541km,07.2021,Traction,Manuelle,5cv,Essence,Tunis,Renault,Clio,Rouge,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,898cm³
54 576DT,180 000km,04.2012,Traction,Manuelle,7cv,Essence,Ariana,BMW,Série 3,Noir,Noir,Cuir intégral,5,5,Essence,Manuelle,7cv,Traction,1000cm³
229 629DT,80 000km,06.2022,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Alcantara,5,5,Essence,Automatique,9cv,Traction,1599cm³
69 786DT,160 000km,03.2017,Traction,Automatique,9cv,Essence,Ben Arous,MG,GS,Beige,N/A,N/A,N/A,N/A,Essence,Automatique,9cv,Traction,N/A
45 614DT,88 000km,08.2011,Intégrale,Manuelle,5cv,Essence,Sousse,Citroën,C3,Blanc,Rouge,Cuir intégral,5,4,Essence,Manuelle,5cv,Intégrale,1124cm³
79 563DT,181 500km,07.2014,Traction,Automatique,6cv,Essence,Ariana,Mercedes-Benz,Classe A,Noir,Noir,Alcantara,5,4,Essence,Automatique,6cv,Traction,1595cm³
435 046DT,54 000km,05.2020,Intégrale,Automatique,18cv,Diesel,Sfax,Mercedes-Benz,GLE Coupé,Blanc,Noir,Alcantara,5,5,Diesel,Automatique,18cv,Intégrale,2925cm³
65 370DT,75 000km,12.2019,Traction,Manuelle,6cv,Essence,Ariana,Seat,Leon,Noir,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1200cm³
240 843DT,350 000km,05.2019,Intégrale,Automatique,11cv,Diesel,Nabeul,Toyota,Land Cruiser,Blanc,Noir,Tissu,7,5,Diesel,Automatique,11cv,Intégrale,3000cm³
145 813DT,24 000km,03.2023,Traction,Automatique,16cv,Essence,Tunis,MG,RX8,Noir,Marron,Cuir partiel,5,5,Essence,Automatique,16cv,Traction,2000cm³
98 696DT,51 000km,03.2021,Traction,Manuelle,5cv,Essence,Ariana,Volkswagen,Golf 8,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,999cm³
116 519DT,123 000km,09.2018,Traction,Automatique,8cv,Essence,Tunis,Audi,A5 Sportback,Blanc,Marron,Similicuir,5,5,Essence,Automatique,8cv,Traction,1395cm³
49 117DT,100 000km,08.2017,Traction,Manuelle,5cv,Essence,Ariana,Honda,Brio Amaze,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
150 579DT,90 000km,08.2018,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe E,Noir,Beige,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1599cm³
74 107DT,220 000km,01.2008,Traction,Automatique,22cv,Essence,Tunis,BMW,Série 7,Blanc,N/A,Cuir intégral,N/A,N/A,Essence,Automatique,22cv,Traction,N/A
97 074DT,80 000km,03.2021,Traction,Automatique,9cv,Essence,Tunis,Haval,H6,Noir,Marron,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1599cm³
129 437DT,48 000km,07.2017,Traction,Automatique,7cv,Essence,Sousse,BMW,Série 4 Gran Coupé,Blanc,Noir,Similicuir,5,4,Essence,Automatique,7cv,Traction,1500cm³
87 635DT,121 000km,01.2015,Traction,Automatique,6cv,Essence,Ben Arous,Nissan,Qashqai,Rouge,N/A,N/A,N/A,N/A,Essence,Automatique,6cv,Traction,N/A
50 511DT,194 000km,03.2014,Traction,Manuelle,5cv,Essence,Sfax,Seat,Leon,Noir,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1197cm³
65 493DT,93 000km,07.2017,Propulsion,Manuelle,5cv,Essence,Tunis,Peugeot,2008,Noir,Noir,Tissu,5,5,Essence,Manuelle,5cv,Propulsion,1200cm³
134 347DT,175 000km,07.2018,Propulsion,Automatique,8cv,Essence,Tunis,KIA,Sportage,Noir,Marron,Cuir intégral,5,5,Essence,Automatique,8cv,Propulsion,1600cm³
85 924DT,165 000km,01.2016,Traction,Automatique,7cv,Essence,Tunis,BMW,Série 1,Bleu,Noir,Alcantara,5,5,Essence,Automatique,7cv,Traction,1699cm³
172 834DT,40 000km,09.2021,Traction,Automatique,8cv,Essence,Tunis,Volkswagen,Golf 8,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,8cv,Traction,N/A
178 189DT,19 000km,05.2022,Intégrale,Automatique,8cv,Diesel,Tunis,Mitsubishi,L200 Sportero,Gris argent,Noir,Cuir intégral,5,4,Diesel,Automatique,8cv,Intégrale,2400cm³
107 268DT,124 000km,05.2019,Traction,Automatique,8cv,Diesel,Tunis,KIA,Sportage,Gris Shark,Noir,Similicuir,5,5,Diesel,Automatique,8cv,Traction,1600cm³
59 702DT,124 000km,07.2017,Traction,Manuelle,6cv,Essence,Ben Arous,Mazda,3,Rouge,Beige,Cuir intégral,5,5,Essence,Manuelle,6cv,Traction,1500cm³
58 408DT,60 000km,12.2021,Traction,Manuelle,5cv,Essence,Sousse,Toyota,Agya,Gris anthracite,Gris,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
92 515DT,110 000km,08.2019,Traction,Automatique,9cv,Essence,Ben Arous,Haval,H6,Marron,Marron,Similicuir,5,5,Essence,Automatique,9cv,Traction,1498cm³
75 410DT,81 751km,12.2020,Traction,Manuelle,6cv,Essence,Ariana,Ssangyong,Tivoli,Blanc,Gris,Tissu,5,4,Essence,Manuelle,6cv,Traction,1200cm³
57 603DT,34 000km,05.2021,Traction,Automatique,5cv,Essence,Ben Arous,Toyota,Agya,Blanc,Noir,Tissu,5,4,Essence,Automatique,5cv,Traction,1198cm³
47 924DT,197 000km,02.2016,Traction,Automatique,6cv,Essence,Ben Arous,Mazda,2,Rouge,Beige,Similicuir,5,5,Essence,Automatique,6cv,Traction,1496cm³
106 726DT,95 000km,08.2017,Traction,Automatique,7cv,Essence,Tunis,Audi,Q3,Noir,Marron,Cuir intégral,5,5,Essence,Automatique,7cv,Traction,1599cm³
148 407DT,31 000km,08.2022,Traction,Automatique,10cv,Essence,Tunis,KIA,Sportage,Noir,Noir,Cuir partiel,5,5,Essence,Automatique,10cv,Traction,1598cm³
59 796DT,200 000km,08.2011,Traction,Manuelle,5cv,Diesel,Ariana,Volkswagen,Golf 6,Noir,Noir,Similicuir,5,4,Diesel,Manuelle,5cv,Traction,1598cm³
68 554DT,298 000km,10.2010,Traction,Automatique,11cv,Diesel,Ariana,KIA,Sportage,Gris anthracite,Noir,Tissu,5,4,Diesel,Automatique,11cv,Traction,1998cm³
116 027DT,120 000km,02.2020,Traction,Automatique,7cv,Hybride diesel,Tunis,Hyundai,Tucson,Blanc,Noir,Similicuir,5,4,Hybride diesel,Automatique,7cv,Traction,1598cm³
72 408DT,76 000km,03.1994,Intégrale,Manuelle,8cv,Essence,Ariana,Opel,Calibra,Vert,Noir,Cuir intégral,5,3,Essence,Manuelle,8cv,Intégrale,2000cm³
130 898DT,95 000km,08.2017,Propulsion,Automatique,10cv,Diesel,Ariana,Mercedes-Benz,Classe C,Noir,Gris,Cuir intégral,5,4,Diesel,Automatique,10cv,Propulsion,2146cm³
31 628DT,267 000km,03.2003,Traction,Manuelle,7cv,Diesel,Médenine,Renault,Velsatis,Bleu,Noir,Similicuir,5,5,Diesel,Manuelle,7cv,Traction,1822cm³
42 315DT,130 000km,05.2017,Traction,Manuelle,5cv,Essence,Ben Arous,Nissan,Micra,Beige,Beige,Tissu,5,5,Essence,Manuelle,5cv,Traction,3000cm³
113 197DT,133 000km,11.2016,Traction,Automatique,7cv,Essence,Tunis,BMW,Série 4 Gran Coupé,Blanc,Marron,Cuir intégral,5,5,Essence,Automatique,7cv,Traction,1799cm³
168 511DT,65 000km,02.2021,Propulsion,Automatique,7cv,Diesel,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Cuir intégral,5,4,Diesel,Automatique,7cv,Propulsion,1599cm³
185 949DT,99 000km,01.2019,Intégrale,Automatique,10cv,Diesel,Tunis,Mercedes-Benz,GLC,Blanc,Noir,Cuir intégral,5,4,Diesel,Automatique,10cv,Intégrale,2200cm³
221 421DT,114 000km,01.2019,Propulsion,Automatique,26cv,Essence,Tunis,Maserati,Levante,Gris anthracite,Marron,Cuir intégral,5,4,Essence,Automatique,26cv,Propulsion,2979cm³
204 766DT,190 000km,04.2017,Traction,Automatique,9cv,Diesel,Tunis,Mercedes-Benz,GLC Coupé,Blanc,Noir,Cuir intégral,5,5,Diesel,Automatique,9cv,Traction,2143cm³
46 641DT,112 000km,07.2015,Traction,Manuelle,4cv,Essence,Ben Arous,Mitsubishi,Mirage,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,1000cm³
181 339DT,214 000km,01.2018,Intégrale,Automatique,13cv,Diesel,Tunis,BMW,X5,Noir,Marron,Cuir intégral,5,5,Diesel,Automatique,13cv,Intégrale,1995cm³
114 268DT,34 000km,06.2022,Traction,Automatique,7cv,Essence,Tunis,Peugeot,2008,Gris Shark,Gris,Tissu,5,5,Essence,Automatique,7cv,Traction,1399cm³
54 013DT,75 000km,01.2020,Traction,Manuelle,6cv,Essence,Ariana,Chery,Tiggo 2,Rouge,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1500cm³
58 705DT,183 000km,12.2012,Traction,Manuelle,7cv,Essence,Tunis,Mercedes-Benz,Classe B,Noir,Beige,Similicuir,5,5,Essence,Manuelle,7cv,Traction,1595cm³
278 779DT,112 000km,08.2020,Traction,Automatique,14cv,Diesel,Tunis,BMW,X5,Noir,Marron,Cuir intégral,5,4,Diesel,Automatique,14cv,Traction,3000cm³
232 184DT,84 000km,01.2020,Intégrale,Automatique,11cv,Diesel,Ariana,Land Rover,Range Rover Evoque,Noir,Gris,Cuir intégral,5,5,Diesel,Automatique,11cv,Intégrale,2000cm³
57 138DT,136 000km,05.2017,Traction,Manuelle,6cv,Essence,Tunis,Peugeot,2008,Bleu,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1199cm³
205 878DT,39 000km,09.2023,Traction,Automatique,8cv,Hybride rechargeable essence,Monastir,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,4,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
144 035DT,135 000km,04.2017,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe C,Blanc,Rouge,Similicuir,5,4,Essence,Automatique,9cv,Traction,1598cm³
69 818DT,87 261km,01.2020,Propulsion,Manuelle,5cv,Diesel,Sfax,Peugeot,Partner,Blanc,Gris,Tissu,3,2,Diesel,Manuelle,5cv,Propulsion,1999cm³
208 560DT,39 000km,09.2023,Traction,Automatique,8cv,Hybride rechargeable essence,Monastir,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,4,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
102 634DT,198 000km,09.2018,Traction,Automatique,8cv,Essence,Sousse,Audi,A5 Sportback,Noir,Marron,Cuir intégral,5,4,Essence,Automatique,8cv,Traction,1395cm³
68 645DT,42 000km,07.2021,Traction,Manuelle,6cv,Essence,Tunis,Fiat,Doblo,Gris Shark,Gris,Similicuir,5,5,Essence,Manuelle,6cv,Traction,1368cm³
89 059DT,49 000km,05.2022,Propulsion,Manuelle,6cv,Essence,Sfax,Ssangyong,Tivoli,Blanc,Beige,Cuir partiel,5,5,Essence,Manuelle,6cv,Propulsion,1197cm³
201 934DT,130 000km,09.2018,Traction,Automatique,10cv,Hybride rechargeable essence,Sousse,Mercedes-Benz,GLC,Blanc,Noir,Cuir partiel,5,5,Hybride rechargeable essence,Automatique,10cv,Traction,1991cm³
100 325DT,55 000km,06.2021,Traction,Automatique,9cv,Essence,Tunis,Haval,H6,Noir,Marron,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1499cm³
71 135DT,144 000km,11.2018,Traction,Automatique,7cv,Essence,Tunis,Ford,Ecosport,Bleu,Noir,Cuir partiel,5,04,Essence,Automatique,7cv,Traction,1000cm³
157 408DT,120 000km,01.2022,Traction,Automatique,10cv,Hybride essence,Tunis,Hyundai,Tucson Hybride,Gris anthracite,Noir,Cuir intégral,5,5,Hybride essence,Automatique,10cv,Traction,2000cm³
98 816DT,137 000km,07.2012,Intégrale,Automatique,15cv,Essence,Tunis,Land Rover,Range Rover Evoque,Blanc,Noir,Similicuir,5,5,Essence,Automatique,15cv,Intégrale,2000cm³
61 874DT,82 000km,10.2021,Traction,Automatique,5cv,Essence,Tunis,Hyundai,Grand i10,Blanc,Noir,Tissu,5,5,Essence,Automatique,5cv,Traction,1200cm³
57 489DT,168 000km,12.2019,Traction,Manuelle,5cv,Diesel,Tunis,Peugeot,Partner,Blanc,Noir,Tissu,2,3,Diesel,Manuelle,5cv,Traction,1560cm³
163 907DT,32 000km,08.2021,Traction,Automatique,8cv,Hybride rechargeable essence,Sousse,Mercedes-Benz,Classe A Berline,Noir,Noir,Cuir intégral,5,4,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
118 812DT,180 000km,04.2016,Intégrale,Automatique,15cv,Essence,Ariana,Land Rover,Range Rover Evoque,Blanc,Noir,Cuir intégral,5,4,Essence,Automatique,15cv,Intégrale,2000cm³
48 093DT,100 000km,05.2014,Traction,Manuelle,5cv,Essence,Tunis,Hyundai,Grand i10,Orange,Autre,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
73 805DT,168 000km,06.2014,Traction,Automatique,7cv,Essence,Sousse,Volkswagen,Passat,Noir,Marron,Cuir intégral,5,4,Essence,Automatique,7cv,Traction,1600cm³
66 844DT,35 000km,04.2016,Traction,Manuelle,10cv,Diesel,Ben Arous,Foton,Forland,Blanc,Noir,Tissu,2,2,Diesel,Manuelle,10cv,Traction,2998cm³
108 471DT,151 000km,02.2017,Intégrale,Automatique,7cv,Diesel,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Tissu,5,4,Diesel,Automatique,7cv,Intégrale,2000cm³
61 824DT,70 000km,10.2019,Traction,Manuelle,4cv,Essence,Tunis,Seat,Ibiza,Gris anthracite,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,999cm³
42 250DT,180 000km,09.2010,Traction,Manuelle,5cv,Essence,Ariana,Volkswagen,Polo,Noir,Gris,Similicuir,5,5,Essence,Manuelle,5cv,Traction,1198cm³
362 765DT,48 000km,06.2023,Intégrale,Automatique,10cv,Diesel,Tunis,BMW,Série 4 Gran Coupé,Autre,Noir,Cuir intégral,5,5,Diesel,Automatique,10cv,Intégrale,cm³
56 924DT,225 000km,03.2016,Traction,Manuelle,5cv,Essence,Ariana,Peugeot,308,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,cm³
198 496DT,70 000km,12.2017,Traction,Automatique,10cv,Essence,Tunis,Mercedes-Benz,Classe E coupé,Blanc,Noir,Similicuir,4,3,Essence,Automatique,10cv,Traction,1991cm³
55 794DT,211 000km,05.2012,Traction,Manuelle,8cv,Diesel,Ben Arous,Fiat,Ducato,Blanc,Noir,Tissu,7,4,Diesel,Manuelle,8cv,Traction,2198cm³
43 821DT,240 000km,07.2020,Traction,Manuelle,5cv,Diesel,Sousse,Fiat,Fiorino,Blanc,Noir,Tissu,2,5,Diesel,Manuelle,5cv,Traction,cm³
135 300DT,16 000km,04.2022,Traction,Automatique,8cv,Essence,Tunis,Haval,H6,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1599cm³
58 135DT,165 000km,02.2019,Traction,Automatique,5cv,Diesel,Monastir,Renault,Clio,Blanc,Noir,Similicuir,5,5,Diesel,Automatique,5cv,Traction,cm³
63 575DT,400 000km,03.2015,Traction,Manuelle,5cv,Diesel,Ben Arous,Nissan,Qashqai,Blanc,Beige,Alcantara,5,5,Diesel,Manuelle,5cv,Traction,1461cm³
46 058DT,210 000km,12.2010,Intégrale,Manuelle,5cv,Essence,Sousse,Seat,Ibiza,Blanc,Gris,Similicuir,5,5,Essence,Manuelle,5cv,Intégrale,1197cm³
266 545DT,24 804km,06.2020,Traction,Automatique,11cv,Essence,Sfax,Mercedes-Benz,GLC Coupé,Noir,Noir,Cuir intégral,5,4,Essence,Automatique,11cv,Traction,1991cm³
147 268DT,102 491km,09.2020,Traction,Automatique,10cv,Essence,Sousse,Honda,Accord,Noir,Noir,Cuir intégral,5,4,Essence,Automatique,10cv,Traction,1498cm³
197 515DT,7 000km,06.2022,Traction,Automatique,7cv,Essence,Bizerte,Mercedes-Benz,CLA,Noir,Noir,Alcantara,5,5,Essence,Automatique,7cv,Traction,cm³
135 316DT,21 000km,09.2020,Intégrale,Automatique,8cv,Essence,Tunis,Audi,A3 Berline,Bleu,Noir,Cuir intégral,5,4,Essence,Automatique,8cv,Intégrale,1395cm³
99 703DT,85 257km,11.2013,Traction,Automatique,7cv,Essence,Ariana,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,4,Essence,Automatique,7cv,Traction,1600cm³
100 405DT,51 000km,08.2021,Propulsion,Manuelle,6cv,Diesel,Tunis,Peugeot,Landtrek Double Cabine,Gris Shark,Noir,Tissu,5,4,Diesel,Manuelle,6cv,Propulsion,cm³
162 440DT,86 000km,02.2019,Traction,Automatique,8cv,Essence,Tunis,Audi,A5 Sportback,Noir,Marron,Similicuir,5,4,Essence,Automatique,8cv,Traction,cm³
